"Player","FG","TP","Points","TotalRebounds","Assists"
"Jabari Smith",0.413,0.125,3,1.6,0.6
"DeeAndre Hulett",NA,NA,NA,NA,NA
"Josip Sesar",NA,NA,NA,NA,NA
"Mark Karcher",NA,NA,NA,NA,NA
"Jason Hart",0.417,0.315,4.8,1.7,2.3
"Kaniel Dickens",0.4,0.333,1.2,0.6,0.1
"Igor Rakocevic",0.379,0.417,1.9,0.4,0.8
"Ernest Brown",0.167,NA,1,2,0
"Dan McClintock",0.5,NA,3,2.8,0.2
"Cory Hightower",NA,NA,NA,NA,NA
"Chris Porter",0.389,0,8.6,3.7,1.2
"Jaquay Walls",NA,NA,NA,NA,NA
"Scoonie Penn",NA,NA,NA,NA,NA
"Pete Mickeal",NA,NA,NA,NA,NA
"Elton Brand",0.5,0.095,15.9,8.5,2.1
"Steve Francis",0.429,0.341,18.1,5.6,6
"Baron Davis",0.409,0.32,16.1,3.8,7.2
"Lamar Odom",0.463,0.312,13.3,8.4,3.7
"Jonathan Bender",0.417,0.34,5.5,2.2,0.6
"Wally Szczerbiak",0.485,0.406,14.1,4,2.4
"Richard Hamilton",0.449,0.346,17.1,3.1,3.4
"Andre Miller",0.461,0.217,12.5,3.7,6.5
"Shawn Marion",0.484,0.331,15.2,8.7,1.9
"Jason Terry",0.444,0.379,14.1,2.4,4
"Trajan Langdon",0.416,0.396,5.4,1.3,1.3
"Aleksandar Radojevic",0.308,NA,1.7,2.4,0.5
"Corey Maggette",0.453,0.324,16,4.9,2.1
"William Avery",0.33,0.255,2.7,0.7,1.4
"Frederic Weis",NA,NA,NA,NA,NA
"Metta World Peace",0.415,0.34,13.3,4.5,2.7
"Cal Bowdler",0.404,0.182,3,1.9,0.2
"James Posey",0.41,0.349,8.6,4.7,1.6
"Quincy Lewis",0.397,0.333,3.6,1.3,0.6
"Dion Glover",0.411,0.317,8.2,3.1,1.5
"Jeff Foster",0.497,0.13,4.9,6.9,0.9
"Kenny Thomas",0.465,0.244,9.3,6.9,1.5
"Devean George",0.392,0.343,5.6,3.1,0.9
"Andrei Kirilenko",0.474,0.31,11.8,5.5,2.7
"Tim James",0.329,0.333,1.6,1.1,0.3
"Vonteego Cummings",0.383,0.321,6.9,1.9,2.7
"Jumaine Jones",0.424,0.349,7.1,4.2,0.9
"Scott Padgett",0.41,0.373,4.2,2.7,0.7
"Leon Smith",0.393,NA,2.2,2.2,0.2
"John Celestand",0.333,0.222,2.3,0.7,1.3
"Rico Hill",NA,NA,NA,NA,NA
"Michael Ruffin",0.407,0,1.7,3.9,0.6
"Chris Herren",0.336,0.328,3.2,1,2.4
"Evan Eschmeyer",0.463,NA,2.8,3.9,0.5
"Calvin Booth",0.451,0.222,3.3,2.8,0.4
"Wang Zhizhi",0.417,0.385,4.4,1.7,0.3
"Obinna Ekezie",0.423,0,3.6,2.7,0.2
"Laron Profit",0.419,0.236,3.3,1.5,1.2
"A.J. Bramlett",0.19,NA,1,2.8,0
"Gordan Giricek",0.442,0.368,9.6,2.5,1.5
"Francisco Elson",0.478,0.188,3.7,3.5,0.6
"Louis Bullock",NA,NA,NA,NA,NA
"Lee Nailon",0.474,0.111,8.6,3.1,1
"Tyrone Washington",NA,NA,NA,NA,NA
"Ryan Robertson",0.333,0,5,0,0
"J.R. Koch",NA,NA,NA,NA,NA
"Todd MacCulloch",0.541,NA,6.1,4,0.5
"Galen Young",NA,NA,NA,NA,NA
"Lari Ketner",0.406,NA,1.4,1.4,0.1
"Venson Hamilton",NA,NA,NA,NA,NA
"Antwain Smith",NA,NA,NA,NA,NA
"Roberto Bergersen",NA,NA,NA,NA,NA
"Rodney Buford",0.412,0.3,6.4,2.6,0.8
"Melvin Levett",NA,NA,NA,NA,NA
"Kris Clack",NA,NA,NA,NA,NA
"Tim Young",0.333,NA,2.2,1.4,0.2
"Manu Ginobili",0.448,0.37,13.8,3.6,3.9
"Eddie Lucas",NA,NA,NA,NA,NA
"Michael Olowokandi",0.435,NA,8.3,6.8,0.7
"Mike Bibby",0.436,0.379,14.7,3.1,5.5
"Raef LaFrentz",0.466,0.363,10.1,6.1,1.1
"Antawn Jamison",0.451,0.346,18.5,7.5,1.6
"Vince Carter",0.438,0.373,18.5,4.6,3.4
"Robert Traylor",0.474,0.167,4.8,3.7,0.7
"Jason Williams",0.398,0.327,10.5,2.3,5.9
"Larry Hughes",0.406,0.309,14.1,4.2,3.1
"Dirk Nowitzki",0.473,0.381,21.9,7.8,2.5
"Paul Pierce",0.445,0.369,19.8,5.6,3.5
"Bonzi Wells",0.46,0.327,12.1,4.6,2.1
"Michael Doleac",0.439,0.125,4.9,3.3,0.6
"Keon Clark",0.5,0.053,8.2,5.9,0.9
"Michael Dickerson",0.432,0.402,15.4,2.9,2.6
"Matt Harpring",0.481,0.333,11.5,5.1,1.4
"Bryce Drew",0.382,0.371,4.4,1.2,2.2
"Rasho Nesterovic",0.502,0.077,6.8,5.1,1
"Mirsad Turkcan",0.368,0,1.9,1.9,0.3
"Pat Garrity",0.417,0.398,7.3,2.6,0.8
"Roshown McLeod",0.409,0.111,7.2,2.7,1.1
"Ricky Davis",0.446,0.361,13.5,3.5,3.3
"Brian Skinner",0.494,0.333,4.7,4.7,0.5
"Tyronn Lue",0.437,0.391,8.5,1.7,3.1
"Felipe Lopez",0.432,0.327,5.8,2.4,1
"Al Harrington",0.444,0.352,13.5,5.6,1.7
"Sam Jacobson",0.511,0.36,4.2,1.2,0.5
"Vladimir Stepania",0.425,0.133,4.1,4.4,0.3
"Corey Benjamin",0.39,0.289,5.5,1.7,0.9
"Nazr Mohammed",0.486,0,5.8,4.7,0.4
"Ansu Sesay",0.434,0.276,3.2,1.8,0.5
"Ruben Patterson",0.517,0.179,10.7,4.2,1.8
"Rashard Lewis",0.452,0.386,14.9,5.2,1.7
"Jelani McCoy",0.539,NA,4.6,3.5,0.5
"Shammond Williams",0.401,0.366,5.8,1.6,2.4
"Bruno Sundov",0.356,0.208,1.7,1,0.2
"Jerome James",0.485,0,4.3,3.1,0.3
"Casey Shaw",0.125,NA,0.2,0.3,0
"DeMarco Johnson",0.333,NA,1.2,1.4,0
"Rafer Alston",0.383,0.354,10.1,2.8,4.8
"Korleone Young",0.5,0.25,4.3,1.3,0.3
"Cuttino Mobley",0.433,0.378,16,3.9,2.7
"Miles Simon",0.2,0,0.4,0.4,0
"Jahidi White",0.51,0,5.9,5.8,0.2
"Sean Marks",0.448,0.2,2.8,2.2,0.2
"Toby Bailey",0.407,0.2,3.3,1.7,0.6
"Andrae Patterson",0.455,0,3,1.7,0.4
"Tyson Wheeler",1,1,4,0,2
"Ryan Stack",0.352,0,2.3,1.8,0.2
"Cory Carr",0.329,0.167,4.1,1.2,1.6
"Andrew Betts",NA,NA,NA,NA,NA
"Corey Brewer",NA,NA,NA,NA,NA
"Derrick Dial",0.372,0.19,3.1,1.6,0.8
"Greg Buckner",0.45,0.334,5,2.8,1.3
"Tremaine Fowlkes",0.409,0.2,2.9,2.2,0.5
"Ryan Bowen",0.456,0.206,2.6,2.1,0.5
"J.R. Henderson",0.365,0.4,3.2,1.6,0.7
"Torraye Braggs",0.475,NA,2.1,2.3,0.3
"Maceo Baston",0.616,0.375,2.7,1.7,0.2
"Tim Duncan",0.506,0.179,19,10.8,3
"Keith Van Horn",0.443,0.361,16,6.8,1.6
"Chauncey Billups",0.415,0.387,15.2,2.9,5.4
"Antonio Daniels",0.444,0.311,7.6,1.8,3.4
"Tony Battie",0.488,0.162,6.1,5.1,0.6
"Ron Mercer",0.429,0.25,13.6,3.1,2.1
"Tim Thomas",0.437,0.369,11.5,4.1,1.5
"Adonal Foyle",0.477,0,4.1,4.7,0.5
"Tracy McGrady",0.435,0.338,19.6,5.6,4.4
"Danny Fortson",0.472,0.167,8.2,7.2,0.7
"Tariq Abdul-Wahad",0.417,0.237,7.8,3.3,1.1
"Austin Croshere",0.407,0.34,6.8,4,1
"Derek Anderson",0.408,0.341,12,3.2,3.4
"Maurice Taylor",0.466,0.152,11,4.6,1.2
"Kelvin Cato",0.507,0.077,5.5,5.3,0.5
"Brevin Knight",0.412,0.134,7.3,2.4,6.1
"Johnny Taylor",0.402,0.394,4.7,2.2,0.5
"Chris Anstey",0.413,0.138,5.2,3.4,0.8
"Scot Pollard",0.494,0,4.4,4.6,0.4
"Paul Grant",0.448,NA,1.8,1.1,0.2
"Anthony Parker",0.444,0.404,9.1,3.2,2.3
"Ed Gray",0.339,0.341,6.2,1.2,0.8
"Bobby Jackson",0.417,0.354,9.7,3.1,2.6
"Rodrick Rhodes",0.347,0.2,5.3,1.2,1.7
"John Thomas",0.502,0,2.7,2.1,0.3
"Charles Smith",0.409,0.288,5.1,1.4,0.9
"Jacque Vaughn",0.429,0.352,4.5,1.3,2.5
"Keith Booth",0.325,0.091,2.9,2.2,0.9
"Serge Zwikker",NA,NA,NA,NA,NA
"Mark Sanford",NA,NA,NA,NA,NA
"Charles O'Bannon",0.4,0,2.5,1.4,0.6
"James Cotton",0.359,0,2.6,0.8,0
"Marko Milic",0.56,0.429,2.5,0.7,0.3
"Bubba Wells",0.414,0.167,3.3,1.7,0.9
"Kebu Stewart",0.462,NA,2.7,2.1,0.1
"James Collins",0.382,0.45,2.6,0.6,0.1
"Marc Jackson",0.446,0.226,8.4,4.3,0.8
"Jerald Honeycutt",0.391,0.362,5.1,1.9,0.7
"Anthony Johnson",0.414,0.356,5.6,1.7,2.9
"Eddie Elisma",NA,NA,NA,NA,NA
"Jason Lawson",0.6,NA,1.5,1.6,0.3
"Stephen Jackson",0.414,0.333,15.1,3.9,3.1
"Gordon Malone",NA,NA,NA,NA,NA
"Cedric Henderson",0.436,0.14,7.3,2.9,1.6
"God Shammgod",0.328,0,3.1,0.4,1.8
"Eric Washington",0.402,0.346,6.9,2.1,1
"Alvin Williams",0.421,0.313,9,2.5,4.1
"Predrag Drobnjak",0.425,0.34,7.9,3.5,0.8
"Alain Digbeu",NA,NA,NA,NA,NA
"Chris Crawford",0.437,0.347,6.6,2.2,0.6
"DeJuan Wheat",0.383,0.39,3.3,0.7,1.6
"C.J. Bruton",NA,NA,NA,NA,NA
"Paul Rogers",NA,NA,NA,NA,NA
"Mark Blount",0.504,0.359,8.2,4.6,0.8
"Ben Pepper",NA,NA,NA,NA,NA
"Nate Erdmann",NA,NA,NA,NA,NA
"Roberto Duenas",NA,NA,NA,NA,NA
"Allen Iverson",0.425,0.313,26.7,3.7,6.2
"Marcus Camby",0.466,0.205,9.5,9.8,1.9
"Shareef Abdur-Rahim",0.472,0.297,18.1,7.5,2.5
"Stephon Marbury",0.433,0.325,19.3,3,7.6
"Ray Allen",0.452,0.4,18.9,4.1,3.4
"Antoine Walker",0.414,0.325,17.5,7.7,3.5
"Lorenzen Wright",0.459,0.069,8,6.4,0.8
"Kerry Kittles",0.439,0.378,14.1,3.9,2.6
"Samaki Walker",0.462,0.111,5.3,4.7,0.6
"Erick Dampier",0.498,0.125,7.4,7.1,0.8
"Todd Fuller",0.422,0,3.7,3,0.2
"Vitaly Potapenko",0.479,0.167,6.5,4.5,0.7
"Kobe Bryant",0.447,0.329,25,5.2,4.7
"Peja Stojakovic",0.45,0.401,17,4.7,1.8
"Steve Nash",0.49,0.428,14.3,3,8.5
"Tony Delk",0.408,0.343,9.1,2.5,1.9
"Jermaine O'Neal",0.467,0.147,13.2,7.2,1.4
"John Wallace",0.462,0.3,7.6,2.8,0.7
"Walter McCarty",0.392,0.346,5.2,2.6,1.1
"Zydrunas Ilgauskas",0.476,0.31,13,7.3,1.1
"Dontae' Jones",0.333,0.261,2.9,0.6,0.3
"Roy Rogers",0.483,0.5,4.8,3.5,0.4
"Efthimi Rentzias",0.339,0.5,1.5,0.7,0.2
"Derek Fisher",0.399,0.374,8.3,2.1,3
"Martin Muursepp",0.425,0.323,4.7,2.2,0.6
"Jerome Williams",0.502,0.038,6.6,6.4,0.8
"Brian Evans",0.381,0.343,3.7,1.6,0.8
"Priest Lauderdale",0.472,0,3.4,1.9,0.4
"Travis Knight",0.438,0.259,3.4,3.1,0.6
"Othella Harrington",0.505,0,7.4,4.4,0.6
"Mark Hendrickson",0.416,0.167,3.3,2.8,0.6
"Ryan Minor",NA,NA,NA,NA,NA
"Moochie Norris",0.401,0.286,5.1,2,2.8
"Shawn Harvey",NA,NA,NA,NA,NA
"Joseph Blair",NA,NA,NA,NA,NA
"Doron Sheffer",NA,NA,NA,NA,NA
"Jeff McInnis",0.431,0.328,9.4,2,4.4
"Steve Hamer",0.526,0,2.2,1.7,0.2
"Russ Millard",NA,NA,NA,NA,NA
"Marcus Mann",NA,NA,NA,NA,NA
"Jason Sasser",0.412,0.333,2.1,1.1,0.3
"Randy Livingston",0.406,0.351,3.8,1.4,2
"Ben Davis",0.356,NA,1.4,1.3,0.1
"Malik Rose",0.437,0.177,6.2,4.1,0.8
"Joe Vogel",NA,NA,NA,NA,NA
"Marcus Brown",0.381,0.333,3.4,0.8,0.9
"Ron Riley",NA,NA,NA,NA,NA
"Jamie Feick",0.424,0.4,4.5,7.1,0.7
"Amal McCaskill",0.377,0,1.8,1.9,0.3
"Terrell Bell",NA,NA,NA,NA,NA
"Chris Robinson",0.376,0.374,4.6,1.5,1.4
"Mark Pope",0.401,0.179,1.9,1.7,0.4
"Jeff Nordgaard",0.278,NA,1.4,1.1,0.2
"Shandon Anderson",0.457,0.316,7.4,3.1,1.4
"Ronnie Henderson",NA,NA,NA,NA,NA
"Reggie Geary",0.344,0.328,2.1,0.8,1.1
"Drew Barry",0.417,0.381,2.2,1.1,1.9
"Darnell Robinson",NA,NA,NA,NA,NA
"Joe Smith",0.455,0.238,10.9,6.4,1
"Antonio McDyess",0.497,0.117,12,7.5,1.3
"Jerry Stackhouse",0.409,0.309,16.9,3.2,3.3
"Rasheed Wallace",0.467,0.336,14.4,6.7,1.8
"Kevin Garnett",0.497,0.275,17.8,10,3.7
"Bryant Reeves",0.475,0.074,12.5,6.9,1.6
"Damon Stoudamire",0.406,0.357,13.4,3.5,6.1
"Shawn Respert",0.414,0.34,4.9,1.3,1
"Ed O'Bannon",0.367,0.222,5,2.5,0.8
"Kurt Thomas",0.486,0.281,8.1,6.6,1.1
"Gary Trent",0.501,0.08,8.6,4.5,1
"Cherokee Parks",0.47,0.211,4.4,3.6,0.6
"Corliss Williamson",0.49,0.136,11.1,3.9,1.2
"Eric Williams",0.415,0.318,8.6,3.3,1.4
"Brent Barry",0.46,0.405,9.3,3,3.2
"Alan Henderson",0.469,0.192,7.8,5,0.6
"Bob Sura",0.414,0.325,8.6,3.4,3.8
"Theo Ratliff",0.496,0,7.2,5.7,0.6
"Randolph Childress",0.328,0.273,2.4,0.5,1
"Jason Caffey",0.481,0,7.3,4.4,0.9
"Michael Finley",0.444,0.375,15.7,4.4,2.9
"George Zidek",0.408,0.25,3.4,2.1,0.2
"Travis Best",0.431,0.345,7.6,1.8,3.5
"Loren Meyer",0.432,0.348,4.6,3.4,0.6
"David Vaughn",0.423,0,2.9,3.1,0.3
"Sherell Ford",0.375,0.16,3.2,0.9,0.2
"Mario Bennett",0.534,0.333,4,2.7,0.4
"Greg Ostertag",0.486,0.1,4.6,5.5,0.6
"Cory Alexander",0.389,0.354,5.5,1.6,2.7
"Lou Roe",0.333,0.25,2,1.4,0.3
"Dragan Tarlac",0.394,NA,2.4,2.8,0.7
"Terrence Rencher",0.33,0.31,2.9,1.2,1.5
"Junior Burrough",0.376,NA,3.1,1.8,0.2
"Andrew DeClercq",0.507,0,4.8,4.2,0.6
"Jimmy King",0.429,0.147,4.5,1.8,1.4
"Lawrence Moten",0.408,0.299,6.3,1.5,1.5
"Frankie King",0.357,0.333,2.1,1.2,0.5
"Rashard Griffith",NA,NA,NA,NA,NA
"Donny Marshall",0.321,0.336,2.5,1,0.3
"Dwayne Whitfield",0.433,NA,5,3.1,0.3
"Erik Meek",NA,NA,NA,NA,NA
"Donnie Boyce",0.349,0.25,2.6,0.8,0.5
"Eric Snow",0.424,0.208,6.8,2.5,5
"Anthony Pelle",NA,NA,NA,NA,NA
"Troy Brown",NA,NA,NA,NA,NA
"George Banks",NA,NA,NA,NA,NA
"Tyus Edney",0.405,0.322,7.6,1.7,4
"Mark Davis",0.442,0.246,5.5,3,1.3
"Jerome Allen",0.35,0.317,2.9,1.1,1.7
"Martin Lewis",0.473,0.3,3.6,1.4,0.3
"Dejan Bodiroga",NA,NA,NA,NA,NA
"Fred Hoiberg",0.431,0.396,5.4,2.7,1.6
"Constantin Popa",NA,NA,NA,NA,NA
"Aurelijius Zukauskas",NA,NA,NA,NA,NA
"Michael McDonald",NA,NA,0,1,0
"Chris Carr",0.416,0.338,6.7,2.2,1
"Cuonzo Martin",0.25,0.6,1.3,0.4,0.4
"Don Reid",0.53,0,3.6,2.9,0.4
"Glenn Robinson",0.459,0.34,20.7,6.1,2.7
"Jason Kidd",0.4,0.349,12.6,6.3,8.7
"Grant Hill",0.483,0.314,16.7,6,4.1
"Donyell Marshall",0.435,0.35,11.2,6.7,1.4
"Juwan Howard",0.469,0.12,13.4,6.1,2.2
"Sharone Wright",0.456,0.083,9.7,5,0.6
"Lamond Murray",0.43,0.36,11.3,4.1,1.3
"Brian Grant",0.49,0.214,10.5,7.4,1.2
"Eric Montross",0.49,0,4.5,4.6,0.4
"Eddie Jones",0.437,0.373,14.8,4,2.9
"Carlos Rogers",0.536,0.258,7.4,4.3,0.6
"Khalid Reeves",0.416,0.363,7.8,2.1,3.2
"Jalen Rose",0.443,0.355,14.3,3.5,3.8
"Yinka Dare",0.396,NA,2.1,2.6,0
"Eric Piatkowski",0.434,0.399,7.5,2.2,1
"Clifford Rozier",0.496,0.182,4.8,5.2,0.6
"Aaron McKie",0.438,0.35,7.4,3.3,2.7
"Eric Mobley",0.541,0.75,3.9,3.1,0.5
"Tony Dumas",0.404,0.327,7.3,1.3,1.2
"B.J. Tyler",0.381,0.314,3.5,1.1,3.2
"Dickey Simpkins",0.44,0.222,4.2,3.6,0.9
"Bill Curley",0.444,0.222,2.7,2,0.4
"Wesley Person",0.457,0.418,11.2,3.3,1.7
"Monty Williams",0.481,0.111,6.3,2.8,1.2
"Greg Minor",0.478,0.226,6.9,2.7,1.4
"Charlie Ward",0.408,0.364,6.3,2.6,4
"Brooks Thompson",0.409,0.376,4.5,0.9,1.7
"Deon Thomas",NA,NA,NA,NA,NA
"Antonio Lang",0.455,0,2.3,1.5,0.3
"Howard Eisley",0.407,0.35,6.5,1.7,3.5
"Rodney Dent",NA,NA,NA,NA,NA
"Jim McIlvaine",0.446,0.1,2.7,3.1,0.3
"Derrick Alston",0.489,0.143,5.4,3.8,0.7
"Gaylon Nickerson",0.333,0,3.8,1.3,0.3
"Michael Smith",0.538,0.143,5.6,7.1,1.5
"Andrei Fetisov",NA,NA,NA,NA,NA
"Dontonio Wingfield",0.389,0.309,3.7,2.4,0.7
"Darrin Hancock",0.53,0.333,3.5,1.3,0.7
"Anthony Miller",0.51,0.25,2.8,2.7,0.4
"Jeff Webster",0.348,0.333,1.6,0.6,0.3
"William Njoku",NA,NA,NA,NA,NA
"Gary Collier",NA,NA,NA,NA,NA
"Shawnelle Scott",0.464,NA,1.8,2.2,0.2
"Damon Bailey",NA,NA,NA,NA,NA
"Dwayne Morton",0.388,0.36,4.1,1.4,0.4
"Voshon Lenard",0.415,0.384,11.9,2.8,2.1
"Jamie Watson",0.468,0.316,3.2,1.5,1.1
"Jevon Crudup",NA,NA,NA,NA,NA
"Kris Bruton",NA,NA,NA,NA,NA
"Charles Claxton",0.5,NA,0.7,0.7,0
"Lawrence Funderburke",0.506,0.118,6.4,3.6,0.6
"Anthony Goldwire",0.407,0.386,6.3,1.3,2.8
"Albert Burditt",NA,NA,NA,NA,NA
"Zeljko Rebraca",0.527,NA,5.9,3.2,0.4
"Chris Webber",0.479,0.299,20.7,9.8,4.2
"Shawn Bradley",0.457,0.103,8.1,6.3,0.7
"Anfernee Hardaway",0.458,0.316,15.2,4.5,5
"Jamal Mashburn",0.418,0.345,19.1,5.4,4
"Isaiah Rider",0.443,0.352,16.7,3.8,2.7
"Calbert Cheaney",0.466,0.298,9.5,3.2,1.7
"Bobby Hurley",0.353,0.272,3.8,1.1,3.3
"Vin Baker",0.485,0.215,15,7.4,1.9
"Rodney Rogers",0.451,0.347,10.9,4.5,2
"Lindsey Hunter",0.388,0.36,8.5,2.2,2.7
"Allan Houston",0.444,0.402,17.3,2.9,2.4
"George Lynch",0.446,0.306,6.6,5,1.4
"Terry Dehere",0.411,0.378,8,1.5,2.6
"Scott Haskin",0.467,NA,2,2,0.2
"Doug Edwards",0.378,0,2.4,1.8,0.7
"Rex Walters",0.441,0.361,4.6,1.2,1.7
"Greg Graham",0.407,0.29,4.5,1.1,1
"Luther Wright",0.348,0,1.3,0.7,0
"Acie Earl",0.403,0,5.1,2.7,0.3
"Scott Burrell",0.418,0.373,6.9,3.5,1.4
"James Robinson",0.394,0.348,7.6,1.7,1.9
"Chris Mills",0.432,0.351,11.2,4.9,1.9
"Ervin Johnson",0.505,0.2,4.1,6.1,0.5
"Sam Cassell",0.454,0.331,15.7,3.2,6
"Corie Blount",0.471,0.115,3.6,4.2,0.7
"Geert Hammink",0.4,NA,1.8,0.9,0.3
"Malcolm Mackey",0.378,0,1.5,1.1,0
"Lucious Harris",0.426,0.348,7.2,2.3,1.4
"Sherron Mills",NA,NA,NA,NA,NA
"Gheorghe Muresan",0.573,0,9.8,6.4,0.5
"Evers Burns",0.4,NA,2.4,1.3,0.4
"Alphonso Ford",0.308,0.1,3.2,1.8,0.9
"Eric Riley",0.456,0,3.1,2.6,0.3
"Darnell Mee",0.312,0.222,1.9,0.9,0.5
"Ed Stokes",0.333,NA,0.8,1,0.3
"John Best",NA,NA,NA,NA,NA
"Nick Van Exel",0.405,0.357,14.4,2.9,6.6
"Conrad McRae",NA,NA,NA,NA,NA
"Thomas Hill",NA,NA,NA,NA,NA
"Rich Manning",0.415,0.4,3.3,1.7,0.2
"Anthony Reed",NA,NA,NA,NA,NA
"Adonis Jordan",0.296,0.25,2.1,0.6,2.2
"Josh Grant",0.404,0.279,3,1.7,0.5
"Alex Holcombe",NA,NA,NA,NA,NA
"Bryon Russell",0.431,0.369,7.9,3.5,1.3
"Richard Petruska",0.435,0.467,2.4,1.4,0
"Chris Whitney",0.395,0.361,6.5,1.4,2.8
"Kevin Thompson",0.429,0,0.9,0.9,0.2
"Mark Buford",NA,NA,NA,NA,NA
"Marcelo Nicola",NA,NA,NA,NA,NA
"Spencer Dunkley",NA,NA,NA,NA,NA
"Mike Peplowski",0.556,0,2.9,2.6,0.4
"Leonard White",NA,NA,NA,NA,NA
"Byron Wilson",NA,NA,NA,NA,NA
"Shaquille O'Neal",0.582,0.045,23.7,10.9,2.5
"Alonzo Mourning",0.527,0.247,17.1,8.5,1.1
"Christian Laettner",0.48,0.261,12.8,6.7,2.6
"Jim Jackson",0.428,0.365,14.3,4.7,3.2
"LaPhonso Ellis",0.452,0.302,11.9,6.5,1.6
"Tom Gugliotta",0.451,0.284,13,7.3,2.8
"Walt Williams",0.425,0.379,11.8,3.9,2.3
"Todd Day",0.406,0.345,12.3,3.4,1.5
"Clarence Weatherspoon",0.471,0.196,11.5,7.5,1.5
"Adam Keefe",0.502,0.071,5,4.1,0.7
"Robert Horry",0.425,0.341,7,4.8,2.1
"Harold Miner",0.46,0.311,9,2.2,1.2
"Bryant Stith",0.424,0.329,10.1,3.4,2
"Malik Sealy",0.426,0.292,10.1,3.2,1.7
"Anthony Peeler",0.427,0.384,9.7,2.6,2.4
"Randy Woods",0.34,0.305,2.4,0.6,1.7
"Doug Christie",0.426,0.354,11.2,4.1,3.6
"Tracy Murray",0.43,0.388,9,2.5,0.8
"Don MacLean",0.455,0.284,10.9,3.8,1.3
"Hubert Davis",0.458,0.441,8.2,1.5,1.7
"Jon Barry",0.434,0.392,5.7,1.8,2.2
"Oliver Miller",0.534,0.116,7.4,5.9,2.2
"Lee Mayberry",0.415,0.377,5.1,1.3,3.6
"Latrell Sprewell",0.425,0.337,18.3,4.1,4
"Elmore Spencer",0.516,0,5.9,3.5,0.7
"Dave Johnson",0.365,0.2,3.5,1.1,0.3
"Byron Houston",0.456,0.256,3.9,3,0.5
"Marlon Maxey",0.542,0,4.9,3.7,0.2
"P.J. Brown",0.46,0.136,9.1,7.7,1.5
"Sean Rooks",0.459,0.091,6.2,3.8,0.8
"Reggie Smith",0.394,0,1.5,1.8,0.1
"Brent Price",0.426,0.387,5.9,1.6,3
"Corey Williams",0.367,0.25,2.4,0.9,0.7
"Chris Smith",0.435,0.366,5.1,1.3,2.8
"Tony Bennett",0.412,0.335,3.5,1,2
"Duane Cooper",0.402,0.216,2.3,0.7,2
"Isaiah Morris",0.456,NA,2.2,0.5,0.2
"Elmer Bennett",0.34,0.273,2.3,0.5,1
"Litterial Green",0.42,0.077,2.9,0.5,1.2
"Steve Rogers",NA,NA,NA,NA,NA
"Popeye Jones",0.447,0.281,7,7.4,1.3
"Matt Geiger",0.499,0.232,9.2,5.7,0.7
"Sasha Danilovic",0.439,0.379,12.8,2.4,2
"Henry Williams",NA,NA,NA,NA,NA
"Chris King",0.423,0.383,6.7,3,1.1
"Robert Werdann",0.378,0,2.1,1.7,0.2
"Darren Morningstar",0.476,NA,4.2,3.5,0.7
"Brian Davis",0.317,0.333,1.9,0.8,0.3
"Ron Ellis",NA,NA,NA,NA,NA
"Matt Fish",0.5,0,3.5,2.2,0.5
"Tim Burroughs",NA,NA,NA,NA,NA
"Matt Steigenga",0.25,0,1.5,1.5,1
"Curtis Blair",NA,NA,NA,NA,NA
"Brett Roberts",NA,NA,NA,NA,NA
"Larry Johnson",0.484,0.332,16.2,7.5,3.3
"Kenny Anderson",0.421,0.346,12.6,3.1,6.1
"Billy Owens",0.481,0.291,11.7,6.7,2.8
"Dikembe Mutombo",0.518,0,9.8,10.3,1
"Steve Smith",0.44,0.358,14.3,3.2,3.1
"Doug Smith",0.425,0.083,8,4.2,1.4
"Luc Longley",0.462,0,7.2,4.9,1.5
"Mark Macon",0.384,0.27,6.7,1.9,1.7
"Stacey Augmon",0.469,0.152,8,3.2,1.6
"Bison Dele",0.528,0.143,11,6.2,1.1
"Terrell Brandon",0.448,0.355,13.8,3,6.1
"Greg Anthony",0.403,0.349,7.3,1.9,4
"Dale Davis",0.53,0,8,7.9,0.9
"Rich King",0.393,0,1.9,1,0.3
"Anthony Avent",0.403,0,5.6,4.5,0.8
"Chris Gatling",0.513,0.249,10.3,5.3,0.7
"Victor Alexander",0.518,0.286,8.9,4.8,0.9
"Kevin Brooks",0.401,0.2,3.3,1.1,0.4
"LaBradford Smith",0.432,0.298,6.7,1.5,2.2
"John Turner",0.439,NA,2.8,1.9,0.3
"Eric Murdock",0.438,0.343,10.1,2.5,4.9
"LeRon Ellis",0.433,NA,3,2.4,0.3
"Stanley Roberts",0.499,0,8.5,5.2,0.6
"Rick Fox",0.45,0.349,9.6,3.8,2.8
"Shaun Vandiver",NA,NA,NA,NA,NA
"Mark Randall",0.443,0.154,2.6,1.3,0.4
"Pete Chilcutt",0.441,0.381,4.3,3.3,0.8
"Kevin Lynch",0.436,0.333,3.3,1.3,1.1
"George Ackles",NA,NA,NA,NA,NA
"Rodney Monroe",0.368,0.222,3.4,0.9,0.7
"Randy Brown",0.417,0.2,4.8,1.8,2.2
"Chad Gallagher",1,NA,3,0,0
"Donald Hodge",0.437,0.286,4.7,3.2,0.8
"Myron Brown",0.667,0.333,2.3,0.8,1.5
"Mike Iuzzolino",0.457,0.404,9,2,4.3
"Chris Corchiani",0.421,0.269,3.7,1.2,2.2
"Elliot Perry",0.459,0.359,6.3,1.4,3.1
"Joe Wylie",NA,NA,NA,NA,NA
