Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2002,SEA,93,69,5.02,0.275,0.35,0.419,0.769
2002,SFG,95,66,4.83,0.267,0.344,0.442,0.7859999999999999
2002,STL,97,65,4.86,0.268,0.33799999999999997,0.425,0.763
2002,TBD,55,106,4.18,0.253,0.314,0.39,0.7040000000000001
2002,TEX,72,90,5.2,0.26899999999999996,0.33799999999999997,0.455,0.794
2002,TOR,78,84,5.02,0.261,0.327,0.43,0.757
2003,ANA,77,85,4.54,0.268,0.33,0.413,0.743
2003,ARI,84,78,4.43,0.263,0.33,0.41700000000000004,0.746
2003,ATL,101,61,5.6,0.284,0.349,0.475,0.8240000000000001
2003,BAL,71,91,4.56,0.268,0.32299999999999995,0.405,0.7290000000000001
2003,BOS,95,67,5.93,0.289,0.36,0.491,0.851
2003,CHW,86,76,4.88,0.263,0.331,0.446,0.777
2003,CHC,88,74,4.47,0.259,0.32299999999999995,0.41600000000000004,0.7390000000000001
2003,CIN,69,93,4.28,0.245,0.318,0.395,0.713
2003,CLE,68,94,4.31,0.254,0.316,0.401,0.7170000000000001
2003,COL,74,88,5.27,0.267,0.344,0.445,0.79
2003,DET,43,119,3.65,0.24,0.3,0.375,0.675
2003,FLA,91,71,4.64,0.266,0.33299999999999996,0.42100000000000004,0.754
2003,HOU,87,75,4.97,0.263,0.336,0.431,0.767
2003,KCR,83,79,5.16,0.27399999999999997,0.336,0.42700000000000005,0.763
2003,LAD,85,77,3.54,0.243,0.303,0.368,0.6709999999999999
2003,MIL,68,94,4.41,0.256,0.32899999999999996,0.419,0.748
2003,MIN,90,72,4.94,0.27699999999999997,0.341,0.431,0.772
2003,MON,83,79,4.39,0.258,0.326,0.401,0.727
2003,NYY,101,61,5.38,0.271,0.35600000000000004,0.45299999999999996,0.81
2003,NYM,66,95,3.99,0.247,0.314,0.374,0.688
2003,OAK,96,66,4.74,0.254,0.327,0.41700000000000004,0.743
2003,PHI,86,76,4.88,0.261,0.34299999999999997,0.419,0.762
2003,PIT,75,87,4.65,0.267,0.33799999999999997,0.42,0.758
2003,SDP,64,98,4.19,0.261,0.33299999999999996,0.38799999999999996,0.721
2003,SEA,93,69,4.91,0.271,0.344,0.41,0.754
2003,SFG,100,61,4.69,0.264,0.33799999999999997,0.425,0.763
2003,STL,85,77,5.41,0.27899999999999997,0.35,0.45399999999999996,0.804
2003,TBD,63,99,4.41,0.265,0.32,0.40399999999999997,0.7240000000000001
2003,TEX,71,91,5.1,0.266,0.33,0.45399999999999996,0.784
